Player_Name,Title,Country,Date_of_Birth,Birthplace,World_Rank,Rapid_Rating,Blitz_Rating,Classical_Rating,Retired,Date_Collected
Alexandra Kosteniuk,GM,Russia,"Apr 23, 1984","Perm, Russian SFSR, Soviet Union",117,2517,2521,2471,Active,2020-08-05
Zhao Xue,GM,China,"Apr 6, 1985","Jinan, Shandong, China",116,2442,2407,2486,Active,2020-08-05
Ulf Andersson,GM,Sweden,"Jun 27, 1951","Västerås, Sweden",115,2493,2467,2516,Active,2020-08-05
Nana Dzagnidze,GM,Georgia,"Dec 1, 1986","Kutaisi, Georgian SSR, Soviet Union",114,2447,2391,2524,Active,2020-08-05
Jan H Timman,GM,Netherlands,"Dec 14, 1951","Amsterdam, The Netherlands",113,2472,2501,2533,Active,2020-08-05
Anna Muzychuk,GM,Ukraine,"Feb 28, 1990","Lviv, Ukrainian SSR, Soviet Union",112,2533,2505,2535,Active,2020-08-05
Viktorija Cmilyte,GM,Lithuania,"Aug 6, 1983","Šiauliai, Lithuanian SSR, USSR",111,2394,2435,2538,Active,2020-08-05
Mariya Muzychuk,GM,Ukraine,"Sep 21, 1992","Lviv, Ukraine",110,2506,2326,2544,Active,2020-08-05
Kateryna Lagno,GM,Russia,"Dec 27, 1989","Lviv, Ukrainian SSR, Soviet Union",109,2521,2608,2546,Active,2020-08-05
Ju Wenjun,GM,China,"Jan 31, 1991","Shangai, China",108,2610,2536,2560,Active,2020-08-05
Gukesh D,GM,India,"May 29, 2006","Chennai, Tamil Nadu, India",107,1927,2376,2563,Active,2020-08-05
Aleksandra Goryachkina,GM,Russia,"Sep 28, 1998","Orsk, Russia",106,2502,2441,2582,Active,2020-08-05
Humpy Koneru,GM,India,"Mar 31, 1987","Vijayawada, Andhra Pradesh, India",105,2483,2483,2586,Active,2020-08-05
Baadur Jobava,GM,Georgia,"Nov 26, 1983","Gali, Georgian SSR, Soviet Union",104,2676,2748,2603,Active,2020-08-05
Alexander Khalifman,GM,Russia,"Jan 18, 1966","Leningrad, Russian SFSR, Soviet Union",103,2522,0,2608,Active,2020-08-05
Anatoly Karpov,GM,Russia,"May 23, 1951","Zlatoust, Russian SFSR, Soviet Union",102,2583,2607,2617,Active,2020-08-05
Ruslan Ponomariov,GM,Ukraine,"Oct 11, 1983","Horlivka, Ukrainian SSR, Soviet Union",101,2673,2703,2631,Active,2020-08-05
Ivan Saric,GM,Croatia,"Aug 17, 1990","Split, Croatia",99,2650,2560,2646,Active,2020-08-05
Alexei Shirov,GM,Spain,"Jul 4, 1972","Riga, Latvian SSR, Soviet Union",98,2631,2669,2647,Active,2020-08-05
Vladislav Kovalev,GM,Belarus,"Jan 6, 1994","Minsk, Belarus",97,2633,2573,2648,Active,2020-08-05
Evgeniy Najer,GM,Russia,"Jun 22, 1977","Moscow, Russia",96,2576,2578,2648,Active,2020-08-05
Alexander Onischuk,GM,United States,"Sep 3, 1975","Sevastopol, Ukrainian SSR, Soviet Union",95,2693,2650,2649,Active,2020-08-05
Dariusz Swiercz,GM,United States,"May 31, 1994","Tarnowskie Góry, Poland",94,2649,2661,2649,Active,2020-08-05
Andrei Volokitin,GM,Russia,"Jun 18, 1986","Lviv, Ukrainian SSR, Soviet Union",93,2648,2568,2650,Active,2020-08-05
Sergei Rublevsky,GM,Russia,"Oct 15, 1974","Kurgan, Russian SFSR, USSR",92,2645,2666,2651,Active,2020-08-05
Jorge Cori,GM,Peru,"Jul 30, 1995","Lima, Peru",91,2599,2585,2652,Active,2020-08-05
Grigoriy Oparin,GM,Russia,"Jul 1, 1997","Munich, Germany",90,2728,2628,2652,Active,2020-08-05
Alexey Sarana,GM,Russia,"Jan 26, 2000","Moscow, Russia",89,2618,2673,2654,Active,2020-08-05
Rauf Mamedov,GM,Azerbaijan,"Apr 26, 1988","Baku, Azerbaijani SSR, Soviet Union",88,2691,2660,2654,Active,2020-08-05
Aleksey Dreev,GM,Russia,"Jan 30, 1969","Stavropol, Russian SFSR, Soviet Union",87,2644,2706,2655,Active,2020-08-05
Liviu-Dieter Nisipeanu,GM,Romania,"Aug 1, 1976","Braşov, Romania",86,2653,2637,2655,Active,2020-08-05
Constantin Lupulescu,GM,Romania,"Mar 25, 1984","Buftea, Romania",85,2638,2519,2656,Active,2020-08-05
Maxime Lagarde,GM,France,"Mar 16, 1994","Niort, Deux-Sèvres, France",84,2684,2630,2657,Active,2020-08-05
Hou Yifan,GM,China,"Feb 27, 1994","Xinghua, Jiangsu, China",83,2621,2601,2658,Active,2020-08-05
Alexander Morozevich,GM,Russia,"Jul 18, 1977","Moscow, Russian SFSR, Soviet Union",82,2651,2705,2659,Active,2020-08-05
Baskaran Adhiban,GM,India,"Aug 15, 1992","Mayiladuthurai, Tamil Nadu, India",81,2624,2633,2659,Active,2020-08-05
Samuel Sevian,GM,United States,"Dec 26, 2000","Corning, New York, U.S.",80,2571,0,2660,Active,2020-08-05
Ferenc Berkes,GM,Hungary,"Aug 8, 1985","Baja, Hungary",79,2674,2675,2661,Active,2020-08-05
Ernesto Inarkiev,GM,Russia,"Dec 9, 1985","Osh Region, Kirghiz SSR, Soviet Union",78,2663,2639,2661,Active,2020-08-05
Rustam Kasimdzhanov,GM,Uzbekistan,"Dec 5, 1979","Tashkent, Uzbek Soviet Socialist Republic, Soviet Union",77,2698,2693,2661,Active,2020-08-05
David W L Howell,GM,England,"Nov 14, 1990","Eastbourne, England, United Kingdom",76,2624,2677,2663,Active,2020-08-05
Hrant Melkumyan,GM,Armenia,"Apr 30, 1989","Yerevan, Armenia",75,2686,2604,2663,Active,2020-08-05
Peter Leko,GM,Hungary,"Sep 8, 1979","Subotica, Yugoslavia (today in Serbia)",74,2710,2738,2663,Active,2020-08-05
Nijat Abasov,GM,Azerbaijan,"May 14, 1995","Baku, Azerbaijan",73,2541,2544,2664,Active,2020-08-05
Illya Nyzhnyk,GM,Ukraine,"Sep 27, 1996","Vinnytsia, Ukraine",72,2658,2694,2665,Active,2020-08-05
Gadir Guseinov,GM,Azerbaijan,"May 21, 1986","Moscow, Russian SFSR, USSR",71,2692,2581,2665,Active,2020-08-05
Ni Hua,GM,China,"May 31, 1983",,70,2647,2579,2667,Active,2020-08-05
Wang Yue,GM,China,"Mar 31, 1987","Taiyuan, Shanxi, China",69,2710,2666,2669,Active,2020-08-05
Vladimir Malakhov,GM,Russia,"Nov 27, 1980","Ivanovo, Russian SFSR, Soviet Union (now Russia)",68,2670,2654,2669,Active,2020-08-05
Gawain C B Jones,GM,England,"Dec 11, 1987","Keighley, West Yorkshire, England, UK",67,2609,2657,2670,Active,2020-08-05
Pavel Eljanov,GM,Ukraine,"May 10, 1983","Kharkiv, Ukrainian SSR, Soviet Union",66,2630,2602,2672,Active,2020-08-05
Etienne Bacrot,GM,France,"Jan 22, 1983","Lille, France",65,2667,2673,2673,Active,2020-08-05
Ray Robson,GM,United States,"Oct 25, 1994","Guam, Micronesia, US",64,2605,2637,2673,Active,2020-08-05
Gata Kamsky,GM,Russia,"Jun 2, 1974","Novokuznetsk, Russian SFSR, Soviet Union",63,2701,2644,2674,Active,2020-08-05
Sanan Sjugirov,GM,Russia,"Jan 31, 1993","Elista, Russia",62,2640,2472,2675,Active,2020-08-05
Boris Gelfand,GM,Israel,"Jun 24, 1968","Minsk, Belarussian SSR, Soviet Union",61,2702,2693,2676,Active,2020-08-05
Parham Maghsoodloo,GM,Iran,"Aug 11, 2000","Gonbad-e Kavus, Iran",60,2532,2601,2676,Active,2020-08-05
Vladimir Fedoseev,GM,Russia,"Feb 16, 1995","Saint Petersburg, Russia",59,2714,2756,2678,Active,2020-08-05
Vassily Ivanchuk,GM,Ukraine,"Mar 18, 1969","Kopychyntsi, Ukrainian SSR, Soviet Union",58,2686,2710,2678,Active,2020-08-05
Alexander Areshchenko,GM,Ukraine,"Jun 15, 1986","Luhansk, Ukrainian SSR, Soviet Union",57,2622,2615,2678,Active,2020-08-05
Markus Ragger,GM,Austria,"Feb 5, 1988","Klagenfurt, Austria",56,2644,2608,2679,Active,2020-08-05
Luke J McShane,GM,England,"Jan 7, 1984","London, England",55,2698,2591,2680,Active,2020-08-05
Andrey Esipenko,GM,Russia,"Mar 22, 2002",Russia,54,2629,2595,2682,Active,2020-08-05
Gabriel Sargissian,GM,Armenia,"Sep 3, 1983","Yerevan, Armenian SSR, Soviet Union",53,2693,2596,2682,Active,2020-08-05
Yuriy Kryvoruchko,GM,Ukraine,"Dec 19, 1986","Lviv, Ukrainian SSR, Soviet Union",52,2697,2617,2682,Active,2020-08-05
A R Saleh Salem,GM,United Arab Emirates,"Jan 4, 1983","Sharjah, United Arab Emirates",51,2689,2659,2682,Active,2020-08-05
Dmitry Jakovenko,GM,Russia,"Jun 29, 1983","Nizhnevartovsk, Russian SFSR, Soviet Union",49,2700,2625,2684,Active,2020-08-05
